" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"Hmmm, I don't know. You may have proven yourself to be an Initiate but that doesn't mean we start handing over weapons to someone that might not be qualified, especially an outsider, no offense.","Mmm, no lo sé. Puede que hayas demostrado ser un buena Iniciada pero eso no significa que empecemos a suministrar armas a alguien que quizás no esté cualificado, sobre todo a una forastera, sin ánimos de ofender..."
"Hmmm. I don't like your looks, stranger. But what can I do for you? I never, ever turn away a paying customer.","Ummm. No me gusta tu aspecto, forastera. Pero, ¿en qué puedo ayudarte? No trato mal a los pacientes que pagan."
"Hmmm. I think I've seen brahmin with more brain cells than you. Well, let's see if you're wounded.","Mmm. Creo que he visto brahmines con más cerebro que tú. Bueno, veamos si estás herida."
"Hmmm. If anyone here needs an intelligence enhancement, it would be you. In fact, I'll do it for 3000 script instead of the 6000 you would normally need for the operation. I can't guarantee that it will help you, but I think it would be worth a try. It will also take 3 weeks of recovery time. You probably don't understand this though, do you?","Mmm. Si alguien necesita una mejora de inteligencia, ésa eres tú. De hecho te cobraré 3.000 chapas en vez de las 6.000 que cuesta la operación. No puedo garantizar que te ayude del todo, aunque creo que merece la pena intentarlo. Tardarás tres semanas en recuperarte. Aunque seguramente no entenderás nada, ¿no?"
"Hmph! I didn't realize you're an asshole. Go take your bullshit somewhere else.","¡Pfff! No me daba cuenta de que eras una cabrona. Llévate tu mierda a otro sitio."
"Hold still. This is going to hurt.","Estate quieta. Esto te va a doler"
"Hold, Initiate! What do you have to report?","¡No te muevas, Iniciada! ¿De qué nos tienes que informar?"
"Hole? How dare you talk like that about the Brotherhood. You are a member of our order now, and should be proud to be a member of the Brotherhood of Steel.","¡Una porquería! ¿Cómo te atreves a hablar así de la Hermandad? Ahora eres una miembro de nuestra orden, y como tal, debes estar orgullosa de ser una miembro de la Hermandad del Acero."
"Holster your weapon, Initiate. You're not in a training exercise, put it away.","Enfunda tu arma, Iniciada. No estás en un ejercicio de entrenamiento, apártala."
"How dare you question one of the Master's special operatives!","¿Cómo te atreves a dudar de una de las encargadas de las operaciones especiales del Maestro?"
"How does one become an Initiate?","¿Qué hace falta para ser una Iniciada?"
"Hu-man!","¡Hu-ma-na!"
"Hub vault inspector. I'm here to inspect the vault. Move aside.","Soy la inspectora del refugio del Eje. Estoy aquí para inspección. Échate a un lado."
"Huh! What? [rubs eyes] Vincent, remove this heathen from our chambers!","¡Eh! ¿Qué? [Abre los ojos] ¡Vincent, saca a esta pagana de nuestras habitaciones!"
"Hum... Lots of stuff. General stuff people need to live: food, water, lots of water. Water is probably the scarcest commodity in the wastes.","Umm... Mucho material. Materias primas que la gente necesita. Comida, agua, mucha agua. El agua es probablemente el producto más apreciado en el desierto."
"I ain't dead yet, so I ain't lowering it.","Todavía no estoy muerta, así que no la bajo."
"I ain't heard anything about you, pal, so cut the bullshit and get out of my face.","No he oído nada sobre ti, tía, así que corta el rollo y aléjate de mi vista."
"I ain't no philosopher, but I know when something's right and something's wrong, and this is wrong. ","No soy filósofa, pero sé cuándo algo está bien y cuando está mal y esto está mal. "
"I ain't saying nothing to you, pal. Go to hell.","No te diré nada a ti, amiga. Vete al infierno."
"I already told you, I've been sent by the Master to check up on you.","Ya te lo he dicho. He sido enviada por el Maestro para investigaros."
"I am Loki. An Initiate from the south.","Soy Loki. Una Iniciada del sur."
"I am a devout believer.","Soy una devota creyente."
"I am a worshiper and I am lost.","Soy una adoradora y estoy perdida."
"I am actually a vault-dweller and would like to speak to the Master.","La verdad es que soy una Moradora del Refugio y me gustaría hablar con el Maestro."
"I am glad to hear that he has come to his senses to allow the people out. While it is far from safe out here, it will do good to restore the earth once more. Farewell, my friend.","Me alegra saber que ha entrado en razón y deja que la gente salga. Aunque el exterior está lejos de ser seguro, estará bien volver a restaurar el yermo. Adiós, amiga."
"I am new here.","Soy nueva aquí."
"I am not a convert!","¡No soy una conversa!"
"I am of the High Order. Only the Master and Morpheus know of me in order to ensure my safety on the outside. But I have been called back by order of the Master.","Soy de la Alta Orden. Solo el Maestro y Morfeo conocen mi existencia para velar por mi seguridad en el exterior. Pero he sido llamadoa por orden del Maestro."
"I am protected by the Holies, child.","Los santos me protegen, chica"
"I am quite a patient man, but even I have limits. Kane, teach this simpleton a lesson.","Soy un hombre con mucha paciencia, pero incluso mi paciencia tiene límites. Kane, dale una lección a esta humana simplona."
"I am sorry, my friend, but I do not work for imaginary money. I need cold, hard cash.","Lo siento, amiga, pero no trabajo por chapas imaginarias. Necesito chapas calentitas, en metálico."
"I am the bringer of death. Fall to your knees and beg for mercy.","Soy la portadora de la muerte. Arrodíllate y suplica misericordia."
"I am the bringer of death. Fall to your knees and beg for mercy... Or give me a sandwich, I'm pretty hungry.","Soy la portadora de la muerte. Arrodíllate y suplica misericordia... o dame un bocata, me muero de hambre."
"I apologize for my outburst, but I'm a little concerned here.","Disculpa mi exceso de cólera pero estoy un poco preocupada."
"I bear your blows with patience, child.","Sobrellevo tus golpes con paciencia, chica"
"I can heal you if you are injured.","Puedo curarte si estás herida."
"I can help you with that. As an Initiate, you are entitled to a few things. I'll put in a clearance for combat armor and three orders for ammunition, bullets of your choice.","Yo te puedo ayudar. Como Iniciada tienes asignadas ciertas tareas. Te daré un vale para una armadura de combate y tres órdenes para tantas municiones y balas como desees."
"I do not believe that I can help you, my friend. Farewell, and have a nice day. Praise the Master! Praise the Holy Flame... ","No creo que pueda ayudarte, amiga. Adiós y que tengas un buen día. ¡Alabado sea el Maestro! ¡Alabada sea la Llama Sagrada! "
"I do not share that weakness with you, human!","¡No voy a compartir la debilidad contigo, humana!"
"I don't care. I'm hurt. Heal me.","No me importa. Estoy herida. Cúrame."
"I don't know if it's because you're an outsider or because of your extreme... lack of tact? So, 'honey', is there anything else I can do for you?","No sé si es porque eres extranjera o por tu extremada... ¿falta de tacto? Bueno, ""cariño"", ¿puedo hacer algo más por ti?"
"I don't know if you'll understand this, but we leave in two hours or whenever you're ready.","No sé si entenderás esto, pero salimos en dos horas o en cuanto estés lista."
"I don't know who you are, but I don't take kindly to strangers walking into my office and accusing me of things they know nothing about.","No sé quién eres, pero no me llevo bien con las desconocidas que entran en mi oficina acusándome de cosas de las que no tienen ni idea."
"I don't know! The only person who's seen him is Morpheus, and he's up in his tower. Man, you're creeping me!","¡No sé! La única persona que lo ha visto es Morfeo, y él está en su torre. ¡Tía, me estás poniendo los pelos de punta!"
"I don't like your kind.","No me gustan las de tu raza."
"I don't like your kind. Rabble-rousers. You should be ashamed.","No me gusta la gente como tú. Agitadores. Deberíais avergonzaros."
"I don't like your kind...","No me gustan las tipas como tú..."
"I don't like your look.","No me gusta la gente como tú."
"I don't like your look. You'd better get away from me.","No me gusta la gente como tú. Mejor será que te alejes de mi vista."
"I don't sleep well at night, my child. It must be my age.","No duermo bien por las noches, hija. Debe de ser la edad."
"I don't think I want a child killer on one of my caravans.","No creo que me haga gracia tener a una asesina de niños en una de mis caravanas."
"I don't think you should be here, stranger.","Creo que no deberías estar aquí, forastera."
"I don't think you want a flower at all. You're being mean to me!","No pienso que quieras una flor. ¡Eres mezquina conmigo!"
"I don't tremble. Use the tools of the time. You're used, you're rewarded, you're walking.","No tiemblo. Uso los instrumentos del tiempo. Tú eres usado, tú eres recompensada, tú caminas."
"I don't understand any of this. I'm not a tech wizz!","No entiendo nada de esto. ¡No soy una genio de la informática!"
"I don't. But if I see someone else I like, I'll be in position to help them. None of the locals have a chance. They're all dead, or converted if they're fortunate. You can be one of the fortunate ones. Join us. Just think about it!","No. Pero si veo a alguien más que me caiga bien, podré ayudarle. Ninguno de los de por aquí tendrá una oportunidad de hacerlo. Están todos muertos o convertidos si tienen suerte. Puedes ser una de esos afortunados. Únete a nosotros. ¡Piénsalo!"
"I dunno. I looked for them myself! I hear Morpheus got a stash, but the Nightkin guard the main one. I've known guys who went looking around for secret passages who were never seen again. I stopped looking after awhile, and if you're smart, you won't start! Ain't worth it!","Lo dudo. ¡La busqué yo mismo! Oí que Morfeo tenía un escondite, pero los Nocturnos guardan el principal. He conocido a tipos que estuvieron buscando pasajes secretos y de los que nadie ha vuelto a saber. Después de un tiempo, dejé de buscar, y si eres lista, ¡tú ni siquiera empezarás! ¡No merece la pena!"
"I eat punks like you for breakfast","Me como a las novatas para desayunar"
"I eat punks like you for breakfast, and lunch. And dinner.","Me como a las mocosas como tú para desayunar y almorzar. Y cenar."
"I feel your pain, child","Siento tu dolor, niña"
"I got nothing to say to you, stranger.","No tengo nada que decirte, extraña."
"I guess I'm destined to be your scout, then.","Entonces, supongo que estoy destinada a ser tu exploradora."
"I hate your kind!","¡Odio a las que son como tú!"
"I have been given authorization to check something out. Could you check the terminal to see if it went through yet?","Estoy autorizada a comprobar una cosa. ¿Puedes comprobar el terminal para ver si funciona?"
"I have heard about you. You are a ruthless killer. I will not heal one who has harmed so many. Get out of here.","He oído hablar de usted. Es una asesina desalmada. No curaré a alguien que ha hecho daño a tanta gente. Váyase."
"I haven't yet, though I'm interested. Aside from this Peace and Unity stuff, what are you guys all about? ","Todavía no, aunque estoy interesada. Además de la Paz y de la Unidad, ¿de qué más va todo esto? "
"I hear that our Crusade goes well. We are marching north, and as the Master promised, the forces of the Dark Age are no match for an army of the Enlightened. These are glorious times! Lift up your head, friend, and shout with praise! ","He oído que nuestra Cruzada va bien. Avanzamos hacia el norte, y como el Maestro prometió, las fuerzas de la Edad Oscura no pueden competir con el ejército de los Iluminados. ¡Son tiempos de Gloria! ¡Levanta la cabeza, amiga, y canta alabanzas! "
"I hear we're moving north, or planning to move north soon. They don't tell us much except all the usual bullshit. But what are we doing talking about this out in the open? You must be nuts!","He oído que nos vamos al norte o que planeamos hacerlo pronto. No nos dicen mucho, además de las mierdas de siempre. ¿Pero qué estamos haciendo aquí fuera hablando de todo esto? ¡Debes estar loca!"
"I hear you're the one that killed the Deathclaw... thank you.","He oído que eres la que mató a la Garra Mortal... gracias."
"I knew you had to be one of them. You had to be with that steel suit. I hope you're right, and I hope it's not a mistake hiring you, but you're not the only one we've hired, so it's okay.","Sabía que eras una de ellos. Tenías que serlo, con ese traje de acero. Espero que estés en lo cierto, y espero también que no cometa un error al contratarte, pero no eres la única a la que hemos contratado, así que, está bien."
"I knew you were a heartless mercenary. We'll pay you well for saving her, rest assured.","Sabía que eras una mercenaria sin compasión. Te aseguro que serás bien recompensada por rescatarla."
"I know how to deal with the likes of you","Sé cómo tratar a las tipas como tú"
"I know nothing, my friend, nothing! You shall have to find someone else to answer your inquiry. But it is not wise to ask about the Nightkin. ","¡No sé nada, amiga, nada! Tendrás que buscar a otro que responda a tus preguntas. Pero yo que tu no preguntaba por los Nocturnos. "
"I know who you are. And you will forgive my rudeness, but I don't speak to psychotic killers. Goodbye.","Sé quién eres. Y perdona mi mala educación pero no hablo con asesinas psicópatas. Adiós."
"I know you will do your best, dearie. Find Tandi, help her escape those beasts and return her to Aradesh. You will do this community a favor and build good karma as well.","Sé que lo harás lo mejor que puedas, querida. Encuentra a Tandi, ayúdala a escapar de esas bestias y devuélvesela a Aradesh. Le harías un favor a esta comunidad y también te formarías un buen karma."
"I laugh at your feeble attack!","¡Tu debilucha ataque me da risa!"
"I love it when you're rough...","Me gusta cuando te pones dura..."
"I own you!","¡Eres mía!"
"I see no reason to converse with a fool. Away with you.","No veo razón para conversar con una imbécil. Vete de aquí."
"I see that you are a little slow. I, too, was once of your intelligence. But, through the teachings of the Followers, I have been able to transcend my shortcomings.","Veo que eres un poco lenta. Yo también tenía tu inteligencia. Pero, con las enseñanzas de los Seguidores, he sido capaz de superar mis defectos."
"I see. Carry on, Initiate.","Ya veo. Continúa, Iniciada."
"I see... you were on drugs. Well, live that life if you wish it.","Ya veo... estabas drogada. Bien, haz lo que quieras con tu vida."
"I still remember your insults, madam. You can rot in the Glow before I treat you.","Todavía recuerdo sus insultos, señora. Se puede pudrir en el Ardor antes de que hable con usted."
"I still remember your insults, sir. You can rot in the Glow before I treat you.","Todavía recuerdo sus insultos, señora. Se puede pudrir en el Ardor antes de que hable con usted."
"I take no joy in your pain, child.","No me alegraré de tu dolor, chica"
"I think they get the point, asshole! They know the Servitor process screws you! They know this 'baptism machine' just messes...","Creo que saben de qué va la cosa, ¡necia! ¡Ellos saben que el proceso de los Servidores te mata! Saben que esta ""máquina del bautismo"" es solo una porquería..."
"I thought you were my friend!","¡Creía que eras mi amiga!"
"I transfer records for the Master. That is all you need to know, my child. Now, you must leave.","Me encargo de transmitir informes para el Maestro. Eso es todo lo que necesitas saber, hija mía. Ahora debes irte."
"I was a little nervous about our long range plans.","Estaba un poco nerviosa por nuestros planes a largo plazo."
"I was sent here by the Master. He wants me to spy on you.","Fui enviada por el Maestro. Quiere que te espíe."
"I was wondering what you'd look like if some maniac spilt your brains all over this nice Cathedral floor. Let's find out! ","Me preguntaba cómo quedarías si alguna maníaca desparramara tus sesos por este precioso suelo de la Catedral. ¡Averigüémoslo! "
"I will inform the Elders. We will wait for Maxson's word on what to do. Go inform him on what you've found. Thanks for your help, Initiate.","Informaré a los Ancianos. Esperaremos órdenes de Maxson para saber lo que hacer. Ve y cuéntale lo que has visto. Gracias por tu ayuda, Iniciada."
"I will kill you, human!","¡Te mataré, humana!"
"I will not be lied to, wanderer.","No me mentirás, moradora."
"I will not waste my time on treacherous outsiders.","No malgastaré mi tiempo con forasteras traidoras."
"I won't lead a possible enemy home. If you do make your way to Shady Sands, keep your nose clean.","No llevaré a casa a una posible enemiga. Búscate tu propio camino hacia Arenas Sombrías y no te metas en líos."
"I wouldn't stick around here if I were you, Initiate; there's likely to be more bloodshed.","Yo que tú no merodearía por aquí, Iniciada, ¿quieres que se derrame más sangre?"
"I wouldn't stick around here if I were you, stranger; there's likely to be more bloodshed.","Yo que tú no merodearía por aquí, extraña, ¿quieres que se derrame más sangre?"
"I'd change your mind if I were you, friend. People have died for less in the Hub.","Amiga, yo cambiaría de opinión si fuera tú. La gente muere por mucho menos en el Eje."
"I'd change your mind if I were you, friend. People have died for less in the Hub. Now get out and don't come back!","Amiga, yo cambiaría de opinión si fuera tú. La gente muere por mucho menos en el Eje. ¡Ahora, lárgate y no vuelvas!"
"I'd stay away from drugs if I were you. Sure, they can give you a boost, but you always wind up paying for it in the end.","Yo en tu lugar me mantendría alejada de las drogas. Claro que te dan un subidón estupendo, pero al final siempre lo pagas caro."
"I'll give you the benefit of the doubt, for now. But a man's only as good as his reputation, and yours could use some work. I hope you'll do something about it before we meet again.","Te otorgaré el beneficio de la duda por ahora. Pero una mujer vale lo que su reputación y la tuya no vale gran cosa. Espero que hagas algo al respecto y que volvamos a vernos."
"I'll give you this one, cur.","Te devolveré ésta, chucha callejera"
"I'll just take care of the Regulators myself.","Me ocuparé yo misma de los Reguladores."
"I'll kill you for that one, punk","Te mataré por esto, mocosa"
"I'll look around on my own, thanks.","Lo miraré yo sola, gracias."
"I'll see you dead yet!","¡Pronto te veré muerta!"
"I'll see you ripped apart limb from limb!","¡He de verte despedazada miembro a miembro!"
"I'll show you tough enough, you son of a bitch!","¡Yo te enseñaré lo que es ser dura, hijo de puta!"
"I'll skin you alive!","¡Te despellejaré viva!"
"I'm a Follower. Where did everyone go?","Soy una Seguidora. ¿Dónde ha ido todo el mundo?"
"I'm a fighter, not a plumber. If you have leaks, talk to someone else.","Soy una guerrero, no un fontanera. Si tenéis filtraciones, hablad con otra persona."
"I'm a man of peace, friend.","Soy una mujer de paz, amigo."
"I'm a scout.","Soy una exploradora."
"I'm a special mutant on a mission for your Master. Let me pass or face the consequences.","Soy una mutante especial en una misión encomendada por tu Maestro. Déjame pasar o afronta las consecuencias."
"I'm a traveler.","Soy una viajera."
"I'm alive! I'm alive!","¡Estoy viva! ¡Viva!"
"I'm an explorer.","Soy una exploradora."
"I'm called Chuck. Welcome to Adytum. I'm afraid that most of the people here aren't too forthcoming with strangers, though.","Me llaman Chuck. Bienvenida a Adytum. Me temo que la mayoría de la gente de aquí no es muy amable con los extranjeros."
"I'm easy. Deal.","Soy una enrollada. Trato hecho."
"I'm from a Vault... I'm a pure strain human.","Soy de un Refugio... Soy una humana pura."
"I'm glad that some of the outsiders, like you, feel that way. We need to find ways to work together to build something new. It won't start here; we are too regulated, but it has to start somewhere.","Estoy contento que algunos extranjeras, como tú, piensen así. Debemos trabajar juntos para construir algo nuevo. No podrá empezar aquí porque estamos demasiado controlados pero empezará en otro sitio."
"I'm going to make it my business, 'stranger'!","¡Voy a hacer que sea mi asunto, ""forastera""!"
"I'm going to take care of this cur.","Voy a ocuparme de esta canalla"
"I'm gonna kick your ass outta town","Vas a salir disparada de la patada que te voy a dar en el culo"
"I'm gonna make you ugly!","¡Voy a ponerte muy fea!"
"I'm gonna spit on your corpse, you skag!","Voy a escupir en tu cadáver, ¡mamona!"
"I'm heading out. You take care of yourself.","No estoy mal de la cabeza. Cuídate tú solita."
"I'm impressed. A guy like you must know the real story about what's going on around here...","Estoy impresionada. Un tipo como tú debe conocer la verdadera historia sobre lo que está pasando por aquí..."
"I'm in disguise. Intruders have infiltrated the Master's sanctuary, and I'm dressed like one of them to gain their confidence.","Voy disfrazada. Unos intrusos se han infiltrado en el Santuario del Maestro, y me he vestido como una de ellos para ganarme su confianza."
"I'm injured.","Estoy herida."
"I'm insulted. I don't have to take that from a customer. Have a good day.","Me siento insultado. No tengo por qué aguantar esto de una clienta. Que tengas un buen día."
"I'm just an explorer.","Solo soy una exploradora."
"I'm lost.. can you show me how to get to the Master? I need to kill him.","Estoy perdida... ¿Puedes decirme cómo llegar al Maestro? Tengo que matarlo."
"I'm new here and I don't know my way around.","Soy nueva aquí y no sé nada de este lugar."
"I'm new, and I was looking for the bathroom. One of the other High Priests sent me up here.","Soy nueva y estaba buscando el cuarto de baño. Otro de los Sumos Sacerdotes me envió aquí arriba."
"I'm no drug add... I mean... Arg!","No soy ninguna drogadicta... quiero decir... ¡Arg!"
"I'm not a tour guide. Go see for yourself.","No soy guía turístico. Ve a verlo por ti misma."
"I'm not falling over, punk.","No voy a caerme, mocosa"
"I'm not one of the Cathedral guards, I'm one of the patrols. ","Yo no soy una de las guardias de la Catedral. Pertenezco a las patrullas. "
"I'm not quite sure what we should do about it right now. Let me gather some more information, and I'll get back to you.","No estoy segura de lo que debemos hacer ahora mismo. Déjame recoger más información y luego volveré."
"I'm not sure. I just know that the Master is turning people into Nightkin.","No estoy segura. Solo sé que el Maestro está convirtiendo a la gente en Nocturnos."
"I'm now the leader of the Children!","¡Ahora soy la líder de los Niños!"
"I'm one of you. Now let me pass.","Soy una de los tuyos. Ahora déjame pasar."
"I'm ready!","¡Estoy lista!"
"I'm really a Martian.","En realidad soy una Marciana."
"I'm really a Ripper in disguise.","En realidad soy una Destripador disfrazada."
"I'm really here to free you. I'm a normal human.","Estoy aquí para liberarte, de veras. Soy una humana normal."
"I'm really starting to dislike this punk","Está empezando a dejar de gustarme esta mocosa"
"I'm running a little low on supplies...","Estoy un poco escasa de suministros..."
"I'm scared. See ya.","Estoy asustada. Nos vemos."
"I'm sick and tired of your trash. Prepare to meet your maker.","Estoy hasta las narices de la gente como tú. Prepárate para encontrarte con tu creador."
"I'm sorry but we don't deal with... um... the intellectually challenged.","Lo siento pero no hacemos tratos con los... em... superdotadas intelectualmente."
"I'm sorry friend, I don't think I can help you.","Lo siento, amiga, no creo que pueda ayudarte."
"I'm sorry we're not what you're used to but you could show a little self-discipline. ","Siento que no estés acostumbrada a nosotros, pero podrías mostrar un poco de autodisciplina. "
"I'm sorry, but you are an outsider. After you're in the Brotherhood for ten years or so I'll be able to do the operation for free, but we have expenses and you're not a regular working member of the Brotherhood yet.","Lo siento, pero eres una forastera. Cuando lleves más de diez años en la Hermandad, podrás operarte gratis pero tenemos gastos y tú todavía no eres un trabajador habitual de la hermandad."
"I'm sorry, child, I am tired right now. I need my rest. Please come back later.","Lo siento, hija, estoy cansada ahora mismo. Necesito mi descanso. Por favor vuelve más tarde."
"I'm sorry. It's just that you outsiders have such a strange way of talking to people sometimes. Is there anything I can help you with?","Lo siento. Es que tienes una forma muy extraña de hablar, extranjera. ¿Te puedo ayudar en algo?"
"I'm still watching you, child killer.","Sigo vigilándote, asesina de niños."
"I'm sure it is, Bob. And I'm sure the police will agree.","Estoy segura de ello, Bob. Y estoy segura de que la policía también lo estará."
"I'm the head of the guards here in Junktown. Name's Lars. For that matter, who are you, stranger?","Soy el jefe de los guardias aquí en Ciudad Vertedero. Me llamo Lars. Por cierto, ¿quién eres, forastera?"
"I'm the new... uh... guy... I've been sent to find out how you are doing.","Soy la nueva... eh... chica... He sido enviada para descubrir lo que hacéis."
"I'm too tired for another one.","Estoy demasiado cansada para otra."
"I'm wildly irradiated, help me! My skin is melting off!","¡Ayuda, estoy altamente irradiada! ¡Mi piel se está derritiendo!"
"I've been doing this for years, punk","Hace años que hago esto, mocosa"
"I've been hoping to run into you, child killer. I hope your stay isn't long. I'll be paying close attention to you while you're here. Keep your nose clean in my city; I'm just dying for an excuse to get rid of scum like you.","Tenía muchas ganas de encontrarte, asesina de niños. Espero que no te quedes mucho tiempo. Te vigilaré muy de cerca mientras estés aquí. No te metas en líos en mi cuidad; estoy buscando cualquier excusa para echarte."
"I've heard about some of the things you've done and we don't take kindly to child killers. The Elders seem to think that there's something you can offer but I don't want to have anything to do with you.","Hemos oído algunas cosas que has hecho y no nos gustan las asesinas de niños. Los Ancianos parecen creer que tienes algo que ofrecer, pero yo no quiero tener nada que ver contigo."
"I've made a lot of tough decisions since I took this position. But none of them harder than this one. You saved us, but you'll kill us. I'm sorry. You're a hero... and you have to leave.","He tomado muchas decisiones difíciles desde que ocupo este cargo. Pero ninguna tan dura como ésta. Nos has salvado, pero acabarías matándonos. Perdóname. Eres una heroína... y tienes que marcharte."
"I've seen junior employees do better than that...","He visto a muchas novatas hacerlo mejor que tú..."
"If you are a friend, then prove it.","Si eres un amiga, demuéstralo."
"If you look at him wrong, you're dead.","Si lo miras mal, acabará contigo."
"If you're hard enough to do that, mebbe you'd make a Skul after all. Bring it here once you've got it.","Si eres lo bastante fuerte como para hacer eso, puede que después de todo seas una de los Kalaveras. Trae lo que tengas."
"If you're lucky, you'll consider yourself one of us by the end of the day. At home, part of the furniture, you know?","Si tienes suerte, te considerarás una de nosotros al cabo del día. En casa, parte del decorado, ¿entiendes?"
"If your heart was not so full of wickedness, sir, you would be at ease. A righteous heart knows no cares. Tell me your problem, but be quick!","Si tu corazón no estuviera tan lleno de maldad, estarías relajada. Un corazón honrado sabe preocuparse. Cuéntame tu problema, ¡pero rápido!"
"In a hurry, are we? As an Initiate, you are entitled to a few things. I'll put in a clearance for combat armor and three orders for ammunition, bullets of your choice. Just see Michael in the next room for the supplies.","¿Tenemos prisa, verdad? Como Iniciada tienes asignadas ciertas cosas. Te daré un vale para una armadura de combate y tres órdenes para tantas municiones y balas que desees. Vete a ver a Michael, en la sala de al lado para recoger los suministros."
"In hell, loser.","Al diablo, perdedora."
"Inhuman swine!","¡Cerda humana!"
"Initiate","Iniciada"
"Initiate, get back to your studies.","Iniciada, vuelve a tus deberes."
"Initiate, shouldn't you be doing something useful?","Iniciada, ¿no deberías hacer algo útil?"
"Initiate, you should know better than to bother us while we're on watch.","Iniciada, deberías saber que no se nos puede molestar cuando estamos de guardia."
"Insolent little bastard","Pequeña bastarda insolente"
"Insolent pup. Apologize now and you'll not be hurt.","Chica insolente. Discúlpate y no sufrirás daño."
"Interesting. I bet the full version will be a great game!","Interesante. ¡Estoy segura de que la versión completa será un gran juego!"
"Intuitively obvious to the most casual observer. We are highly intelligent and immune to disease. The strong survive! It is our goal to improve the human race.","Resulta evidente hasta para la más distraída. Somos extremadamente inteligentes e inmunes a la enfermedad. ¡Solo los fuertes sobreviven! Nuestro objetivo es perfeccionar la raza humana."
"Is there no end to your perfidy, child?","¿Tu perfidia no tiene fin, niña?"
"Is there something else on your mind, my child? ","¿Tienes algo más en mente, hija mía? "
"It depends on whether or not you consider us vermin. If you attack our enemies, you will be permitted to travel in our territory. If you offend us, you will die. Consider yourself warned.","Depende de si nos consideras un problema o no. Si atacas a nuestros enemigos, tendrás permiso para viajar dentro de nuestro territorio. Si nos ofendes, morirás. Date por avisada."
"It is a pity that you are dimwitted. We will have difficultly understanding each other. I hope the others in your Vault are not like you.","Es una pena que seas tan tonta. Será muy difícil que nos entendamos. Espero que los demás habitantes de tu Refugio no sean como tú."
"It is my town, wanderer. You must answer my questions or leave. This is not a matter of choice.","Esta es mi ciudad, moradora. Debes contestar mis preguntas o marcharte. No es una cuestión de elección."
"It seems that you have made a friend of this dog.","Parece que te has hecho amiga de este perro."
"It seems you do not have enough money to pay for my services. I have a very special way of dealing with debtors and liars - I don't. Flash and Cougar, take our newfound source of income to the lab for ""processing"".","Parece que no tienes chapas suficientes para pagar mis servicios. Tengo una manera especial de tratar a las morosas y a las mentirosas. Flash, Cougar llevad al laboratorio a nuestra nueva fuente de ingresos para que la ""procesemos""."
"It'll work best if it's you. Gizmo doesn't know you, so he might trust you. Or, at least he'll have a hard time blaming me. Either way, you're the best person for the job.","Funcionará mejor si eres tú. Gizmo no te conoce y quizás por ello confíe en ti. O, al menos le será más difícil acusarme a mí. Salga bien o mal, eres la más indicado para el trabajo."
"It's a pleasure to meet you, Brother ","Es un placer conocerte Hermana "
"It's just a reprieve, punk!","¡Solo es un respiro, mocosa!"
"It's not important, I'm just a traveler. I need some information.","No es importante, solo soy una viajera. Necesito información."
"It's not skag work. You'll need to do 'it' quick and clean. The boss'll give you details, but it's more money than you'll make in a month working for the caravans, but only if you're good enough. We don't take kindly to failures, if you know what I mean.","No es un trabajo de mierda. Tendrás que hacer ""eso"" de una forma rápida y limpia. El jefe te dará los detalles, pero son más chapas de las que conseguirás trabajando durante un mes en las caravanas, aunque solo si eres lo bastante buena. No nos gustan los errores, si sabes a lo que me refiero."
"It's over on the west side.","Está por la parte oeste."
"It's over, punk! You is history!","¡Ha terminado, mocosa! ¡Eres historia!"
"It's pretty simple, actually. You use it and it tells you how many rads you have. As long as you keep your rad count under 100, you should be fine. Go above 100 and you're in some trouble. The worst part is you won't even know you've been sucking up rads until a few days later. Get over 1000 and you're cooked - unless you get a hold of a whole lot of Rad-Away.","De hecho es bastante fácil. Cuando lo utilizas, te dice cuántos rads tienes en el cuerpo. Mientras mantengas la lectura de rads por debajo de 100, estás bien. Si te pasas de 100 estarás en problemas. Lo peor es que no sabrás que has estado chupando radiación hasta que pasen unos días. Pásate de las 1.000 y estás muerta... a no ser que consigas un montón de RadAway."
"It's so, so simple. In the Heights you'll find Daren Hightower's home all plump and ripe for the picking. Are you ready for life! Do you accept the challenge?","Es tan, tan sencillo. En las Alturas encontrarás la casa de Daren Hightower lista y madura para la cosecha. ¡Estás preparada para vivir! ¿Aceptas el reto?"
"It's the guns, you asshole! Gunpowder is intelligent and evil and controls your brain! The more gunpowder that's near you, the crazier you become! BOOM! BOOM! BOOM!","Son las armas, ¡idiota! ¡La pólvora es inteligente y malévola y controla tu cerebro! ¡Cuanto más cerca estés de la pólvora, más loco te vuelves! ¡BOOM! ¡BOOM! ¡BOOM!"
"It's time for you to leave, child killer.","Es hora de irse, asesina de niños."
"Juicer","Exprimidora"
"Just a traveler. I've heard that one before. Nobody comes to L.A. Boneyard except those Hub merchants and people looking for a quick death at the hands of the gangs. What are you really here for?","Solo soy una viajera. Ya he oído eso antes. Nadie viene al Cementerio de LA excepto esos mercaderes del Eje o la gente que busca una muerte rápida a manos de las bandas. Dime, ¿para qué estás aquí en realidad?"
"Just leave me the hell alone, you loser. Sinthia might be your kind of woman, but I sure as hell ain't.","¡Déjame en paz, so pringada! Puede que Sinthia sea tu tipo, pero te aseguro que yo no lo soy."
